,population,racepctblack,racePctWhite,racePctHisp,agePct12t21,agePct16t24,pctUrban,medFamInc,perCapInc,blackPerCap,OtherPerCap,HispPerCap,PctBSorMore,PctEmplManu,PctEmplProfServ,PctOccupManu,PctKids2Par,PctYoungKids2Par,NumIlleg,PctIlleg,PctImmigRecent,PctRecImmig5,PctRecImmig10,PctSpeakEnglOnly,PersPerOccupHous,PersPerRentOccHous,PctPersOwnOccup,PctHousLess3BR,HousVacant,MedYrHousBuilt,PctHousNoPhone,OwnOccLowQuart,OwnOccMedVal,RentMedian,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumStreet,PctSameHouse85,PctSameCity85,PctUsePubTrans,ViolentCrimesPerPop
11,1,1,4,1,2,1,4,4,3,2,2,2,3,1,3,1,4,4,1,1,1,1,1,4,2,1,3,2,1,1,1,3,4,3,2,3,3,1,4,4,4,1
12,1,1,4,1,2,1,4,4,4,3,1,2,4,2,3,1,4,4,1,1,1,1,1,4,2,1,4,1,1,2,1,3,3,4,2,2,2,1,4,3,3,1
13,1,1,4,1,2,2,4,2,2,2,1,3,2,3,1,2,4,4,1,1,1,1,1,4,2,1,3,2,1,4,1,1,1,2,1,2,2,1,2,2,1,1
14,1,1,4,2,2,2,4,3,4,2,2,2,3,2,2,1,3,4,1,1,3,3,2,3,2,2,2,3,1,4,1,4,4,4,3,4,1,1,2,3,1,1
15,1,1,4,1,2,2,1,1,1,1,2,2,1,2,2,2,3,3,1,1,1,1,1,4,2,1,3,3,1,1,1,1,1,1,2,1,2,1,3,3,1,1
16,1,2,3,1,3,3,4,2,2,1,1,2,2,1,3,1,1,1,1,3,2,1,1,4,1,1,1,3,1,1,2,1,1,2,3,2,2,1,2,3,4,2
17,1,1,4,1,2,2,4,3,3,2,4,3,3,2,2,1,4,4,1,1,1,1,1,4,3,2,4,2,1,2,1,2,2,4,3,3,3,1,4,3,1,1
18,1,1,4,1,3,3,1,2,2,1,3,2,2,2,4,1,3,3,1,1,2,1,1,4,2,1,3,3,1,2,1,1,1,2,2,1,2,1,2,2,1,1
19,1,1,4,1,2,1,3,1,1,1,1,2,1,2,2,2,3,4,1,1,1,1,1,4,2,2,4,2,1,2,1,1,1,1,1,1,2,1,4,4,1,1
20,1,1,3,2,2,2,4,2,2,1,1,2,1,2,2,2,3,3,1,1,2,2,2,3,3,3,2,2,1,3,1,2,2,2,3,3,1,1,2,2,1,2
21,4,2,3,1,2,2,4,2,2,1,2,2,2,1,2,2,3,3,2,2,2,1,1,4,2,2,3,2,4,3,2,1,1,2,2,2,2,2,2,3,1,3
22,1,1,4,1,2,2,1,1,1,1,1,1,1,2,2,3,3,2,1,1,2,1,1,4,2,2,2,3,1,1,3,1,1,1,3,2,2,1,2,3,1,1
23,1,1,4,1,2,2,4,1,1,1,1,1,2,2,2,2,3,3,1,2,2,1,1,4,2,2,3,3,1,1,2,1,1,1,2,1,2,1,3,3,1,2
24,1,1,1,4,3,2,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,4,4,1,4,4,2,3,1,3,3,1,1,1,2,3,1,1,3,3,1,1
25,1,1,4,1,3,3,4,2,2,2,2,2,3,2,3,2,3,3,1,1,4,1,1,4,1,1,2,3,1,3,1,1,1,2,3,3,2,1,2,2,1,1
26,1,2,1,2,2,2,4,2,2,2,2,2,1,3,1,2,2,3,1,2,2,4,4,2,3,3,2,4,1,2,1,3,3,3,3,2,1,1,3,4,1,3
27,1,1,4,1,2,1,1,1,1,1,1,3,1,4,2,3,3,4,1,1,1,1,1,4,2,2,3,2,1,2,2,1,1,1,2,2,2,1,3,4,1,1
28,1,2,3,1,2,1,1,1,1,1,1,4,2,1,4,1,2,2,1,2,1,1,1,4,2,2,3,3,1,2,2,1,1,1,3,2,2,1,3,4,1,2
29,1,1,4,1,2,1,1,3,2,2,2,2,2,3,2,2,4,4,1,1,1,1,1,4,3,2,4,2,1,2,1,2,2,2,2,3,2,1,3,3,1,1
30,1,1,4,1,2,2,1,1,1,1,1,1,2,2,2,2,3,3,1,1,4,1,1,4,2,1,3,2,1,3,2,1,1,1,3,1,2,1,3,3,1,1
31,2,1,4,1,2,2,4,2,2,1,2,2,2,2,2,2,3,3,1,2,2,1,1,4,2,1,3,3,2,2,1,1,1,2,3,2,2,1,3,3,1,1
32,1,2,3,1,4,4,4,2,1,1,1,1,4,1,4,1,3,3,1,3,4,1,1,4,1,1,1,3,1,4,2,1,1,1,4,1,1,1,1,1,1,1
33,1,3,3,1,3,2,4,1,2,1,2,2,2,2,3,2,2,2,1,2,3,1,1,4,2,2,2,3,1,2,2,1,1,1,2,1,2,1,3,3,1,1
34,1,1,3,1,2,2,4,4,4,3,3,4,4,2,2,1,4,4,1,1,2,3,3,3,2,2,3,3,1,3,1,4,4,4,2,4,1,1,2,2,1,1
35,1,1,4,1,2,2,4,1,1,1,1,2,1,2,2,3,2,2,1,2,2,1,1,4,2,1,3,3,2,2,2,1,1,1,2,1,2,1,3,4,1,1
36,1,1,3,2,2,2,4,3,2,2,2,2,2,2,2,2,4,4,1,1,1,1,1,3,3,3,3,2,1,3,1,3,3,3,3,4,2,1,3,4,1,1
37,1,1,3,3,2,2,1,1,1,1,1,1,1,3,2,3,3,3,1,2,3,4,3,2,3,4,2,3,1,3,2,1,1,2,3,3,2,1,2,3,1,1
38,1,1,3,1,2,2,1,1,1,1,1,1,2,1,3,2,3,3,1,1,2,1,1,4,2,3,2,2,1,2,3,1,1,1,2,2,2,1,2,2,1,1
39,1,1,3,1,1,2,1,3,4,2,4,3,4,2,2,1,4,4,1,1,3,3,3,3,1,1,2,4,1,4,1,3,3,3,2,3,3,1,1,1,3,1
40,1,1,4,1,2,1,1,2,2,2,2,3,1,1,2,2,3,4,1,1,1,1,1,4,2,3,4,2,1,3,1,2,2,3,2,4,4,1,3,3,1,1
41,1,1,4,1,2,2,4,2,2,2,2,2,1,3,2,3,3,3,1,1,1,1,1,3,2,1,3,3,1,2,1,2,2,2,2,3,3,1,4,4,1,1
42,1,4,1,1,2,2,4,1,1,1,1,1,2,2,3,2,2,2,1,2,1,1,1,4,2,2,3,2,1,2,2,1,1,1,2,2,2,1,3,4,1,3
43,1,1,4,1,2,1,4,3,3,3,2,2,3,2,2,1,3,4,1,1,2,2,2,3,2,2,3,3,1,4,1,3,3,3,3,4,1,4,1,2,1,1
44,1,1,4,1,2,2,4,3,3,2,2,3,2,2,2,1,4,4,1,1,2,2,2,3,3,3,4,1,1,2,1,3,3,4,2,2,2,1,4,4,2,1
45,1,1,4,1,3,3,4,2,2,1,1,2,3,2,3,1,3,4,1,1,4,1,1,4,2,2,2,3,1,3,1,1,1,2,3,2,2,1,1,2,1,1
46,1,2,3,1,2,1,3,2,2,2,1,2,2,2,3,2,3,4,1,2,1,1,1,4,3,2,4,2,1,4,1,1,1,2,3,3,4,1,3,3,2,1
47,1,1,3,3,2,1,1,1,1,1,1,1,1,1,2,3,3,2,1,2,2,1,1,2,3,3,3,2,1,2,3,1,1,1,2,1,1,1,3,4,1,1
48,1,1,4,1,2,2,4,2,2,2,2,2,3,2,2,1,3,3,1,1,2,1,1,4,2,1,3,2,1,3,1,1,1,2,3,3,1,1,2,2,1,1
49,1,1,4,1,2,2,1,1,1,2,1,3,1,3,2,4,3,2,1,1,1,1,1,4,2,2,3,3,1,1,3,1,1,2,3,3,3,1,2,3,1,1
50,1,1,4,1,2,2,4,2,2,2,2,2,1,4,2,3,2,2,1,1,1,1,1,4,2,2,3,3,1,2,2,1,1,1,2,1,2,1,3,4,1,1
51,2,1,3,2,3,2,4,2,2,2,1,2,2,2,2,2,3,3,1,2,2,2,2,3,3,3,2,3,1,3,1,2,2,2,3,3,1,1,2,2,1,3
52,1,2,3,1,2,1,4,2,2,2,2,2,1,2,2,2,3,4,1,2,1,1,1,4,3,2,4,2,1,2,1,1,1,2,3,2,3,1,4,3,2,1
53,1,1,4,1,2,2,4,3,3,3,1,2,3,2,3,1,4,4,1,1,1,1,1,4,3,1,4,1,1,3,1,2,3,3,3,3,2,1,3,3,1,1
54,1,1,4,1,2,2,4,1,1,2,1,2,1,4,1,4,3,2,1,1,2,1,1,4,2,2,3,2,1,2,2,1,1,1,2,1,2,1,3,3,1,1
55,1,1,4,1,2,2,1,1,1,1,1,1,1,3,2,3,3,3,1,1,1,1,1,4,2,3,3,3,1,2,4,1,1,1,2,2,3,1,2,3,1,1
56,1,1,4,1,2,2,4,2,2,2,2,2,2,1,2,2,3,3,1,1,2,2,2,3,2,2,3,2,1,3,1,3,3,3,3,3,1,1,2,3,3,1
57,1,1,4,1,2,2,1,1,1,1,2,1,1,2,2,3,2,3,1,1,1,1,1,4,2,2,2,3,1,2,2,1,1,1,3,1,2,1,2,3,1,1
58,1,2,3,1,2,2,4,2,2,1,2,2,3,2,2,1,3,3,1,2,2,1,1,4,2,2,3,2,1,3,2,1,1,1,2,1,1,1,3,3,1,2
59,1,1,4,1,2,1,4,2,2,1,1,2,1,3,2,3,3,4,1,1,2,1,1,4,2,2,3,2,1,2,1,2,2,3,3,3,4,1,4,4,1,1
60,1,1,4,1,1,1,4,3,2,4,3,4,2,2,2,2,4,4,1,1,1,1,1,3,2,2,3,3,1,1,1,3,2,3,3,3,4,1,4,3,1,1
61,1,1,4,1,2,2,1,2,2,1,1,1,2,2,3,3,2,2,1,1,3,1,1,4,2,2,3,2,1,2,2,1,1,1,2,1,2,1,2,2,1,1
62,1,1,4,1,3,2,1,1,1,1,2,2,2,2,3,3,3,3,1,1,4,1,1,4,2,2,2,3,1,2,2,1,1,1,2,1,2,1,2,2,1,1
63,1,1,3,3,2,2,1,1,1,1,1,2,1,2,2,3,2,2,1,2,1,1,1,3,3,3,3,3,1,3,3,1,1,1,3,2,3,1,2,3,1,2
64,1,1,3,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,3,3,4,2,3,1,3,2,1,1,2,3,3,2,1,2,2,1,2
65,1,1,4,1,1,1,4,4,4,3,3,4,4,2,2,1,4,4,1,1,2,1,1,4,2,1,3,3,1,2,1,4,4,4,2,3,1,1,3,3,1,1
66,1,2,3,1,2,2,4,2,2,1,1,2,1,4,1,4,2,2,1,2,2,1,1,4,2,2,2,3,1,3,2,1,1,1,2,2,2,1,3,4,1,2
67,1,1,4,1,2,2,4,3,4,2,2,3,3,2,2,1,4,4,1,1,2,2,2,4,2,2,4,2,1,4,1,3,3,4,2,4,2,1,2,3,2,1
68,1,1,2,4,2,2,4,2,1,2,2,2,1,4,2,4,2,2,1,3,2,4,4,1,3,3,1,3,1,1,3,2,2,2,3,3,4,1,3,3,2,2
69,1,1,4,1,2,2,1,1,1,2,1,2,1,3,2,3,3,3,1,1,1,1,1,4,2,1,3,2,1,1,2,1,1,1,3,2,3,1,3,3,1,1
70,1,1,4,1,2,1,4,4,4,3,3,4,4,2,2,1,4,4,1,1,2,1,1,4,3,1,4,1,1,4,1,2,2,3,2,2,1,1,3,3,1,1
71,1,1,4,1,2,1,1,2,2,2,1,2,2,2,2,2,3,4,1,1,2,1,1,4,2,2,3,2,1,3,1,3,3,3,3,3,1,1,2,3,1,1
72,1,1,4,1,4,4,4,2,1,1,1,1,3,2,3,2,4,4,1,1,3,1,1,4,2,2,3,2,1,2,1,1,1,1,3,1,1,1,2,2,1,1
73,1,1,4,1,2,1,1,3,3,3,4,4,3,2,3,1,4,4,1,1,2,1,1,4,3,2,4,2,1,3,1,3,3,3,2,3,2,1,3,4,1,1
74,1,1,4,1,2,2,4,2,2,2,1,2,1,3,2,2,3,3,1,2,1,1,1,3,2,2,3,3,1,2,1,2,2,2,3,3,3,1,3,4,1,1
75,1,1,4,1,1,1,4,2,2,1,1,2,2,1,2,2,3,3,1,1,2,1,1,4,1,2,3,3,2,3,1,2,2,3,4,3,3,1,3,3,1,1
76,1,1,3,1,2,2,4,1,1,1,2,2,1,2,1,3,3,3,1,2,1,1,1,4,2,3,3,2,1,3,2,1,1,1,3,1,1,1,3,4,1,1
77,1,4,1,1,2,2,4,1,1,1,1,1,1,2,2,3,2,2,1,2,2,1,1,3,2,2,3,3,1,2,3,1,1,1,3,1,2,1,3,4,1,3
78,1,1,3,3,2,2,4,1,1,1,1,1,1,2,3,2,2,2,1,2,2,1,1,3,2,2,3,3,1,2,2,1,1,1,3,2,2,1,3,4,1,3
79,2,1,3,1,2,2,4,2,2,2,2,2,2,1,2,2,3,3,1,1,2,1,1,4,2,2,3,3,3,4,1,1,1,2,2,3,1,1,2,2,1,3
80,2,2,3,2,2,2,4,2,2,2,1,2,2,2,3,2,2,3,1,2,2,2,2,2,2,2,2,3,1,2,2,3,3,2,2,3,3,1,4,4,4,1
81,1,1,4,1,2,2,4,1,1,1,1,1,1,2,2,2,3,3,1,1,2,1,1,4,2,2,3,3,1,2,2,1,1,1,2,2,2,1,3,3,1,1
82,1,1,3,2,2,2,1,1,1,1,1,1,1,2,4,3,3,3,1,1,1,1,1,4,2,2,3,3,1,2,3,1,1,1,2,2,3,1,3,3,1,3
83,1,1,4,1,2,1,4,2,2,1,1,2,2,2,3,2,4,4,1,1,1,1,1,4,3,2,4,1,1,2,1,1,1,1,2,2,2,1,4,4,1,1
84,1,1,4,1,4,4,1,1,1,1,1,1,3,1,4,1,3,3,1,2,4,1,1,4,2,1,2,3,1,3,1,1,1,1,4,2,2,1,1,1,1,1
85,1,1,4,1,2,1,1,1,1,2,1,1,1,4,1,4,3,3,1,1,2,1,1,4,2,2,3,3,1,1,3,1,1,1,1,1,1,1,3,4,1,1
86,1,1,4,1,1,1,1,2,2,2,1,2,1,1,1,2,3,4,1,1,1,1,1,4,2,2,3,2,1,4,1,1,1,2,2,3,1,1,2,1,1,1
87,1,1,4,1,1,1,4,3,3,3,2,3,3,2,3,1,4,4,1,1,2,1,1,4,1,1,3,4,1,3,1,4,4,4,2,3,1,1,3,2,1,1
88,1,1,4,1,2,2,1,1,1,1,2,2,1,3,2,3,3,2,1,2,1,1,1,4,2,2,2,3,1,3,2,1,1,1,2,3,3,1,2,3,1,1
89,1,1,4,1,2,1,4,2,2,2,2,2,1,1,2,2,3,3,1,1,1,1,1,4,2,3,3,3,1,3,1,2,2,2,3,3,2,1,2,3,1,1
90,1,1,4,2,1,2,1,2,2,1,2,2,2,1,1,1,3,3,1,1,2,1,1,3,2,2,1,3,1,2,3,2,2,3,4,4,2,2,2,1,1,2
91,1,2,3,1,3,2,4,2,2,1,2,2,3,1,3,1,3,3,1,2,4,1,1,4,3,2,3,2,1,4,1,1,1,2,2,1,2,1,2,3,1,1
92,1,1,4,1,2,1,3,3,3,2,1,2,3,2,3,1,4,3,1,1,1,1,1,4,2,1,4,2,1,3,1,3,3,2,3,3,2,1,3,3,1,1
93,1,1,4,1,2,2,4,2,2,1,2,2,2,2,2,2,3,4,1,1,2,1,1,4,3,2,3,2,1,3,1,1,1,2,2,2,3,1,3,3,1,1
94,1,1,4,1,2,2,4,2,2,2,2,2,2,2,2,2,3,4,1,1,2,1,1,4,2,2,2,3,1,4,1,2,2,3,3,4,2,1,1,2,1,2
95,1,1,4,1,2,2,4,2,2,2,2,2,2,2,2,2,3,3,1,2,2,2,2,3,2,2,2,3,1,1,1,2,2,3,3,3,3,1,3,3,4,2
96,1,1,4,1,2,2,1,1,2,1,1,2,2,2,3,2,2,3,1,1,1,1,1,4,2,2,2,3,1,1,2,1,1,2,3,2,2,1,2,3,1,2
97,1,1,4,1,4,4,1,2,1,1,1,1,4,1,4,1,4,4,1,1,4,3,2,4,2,2,2,3,1,3,1,1,1,2,3,1,1,1,1,1,2,1
98,1,1,4,1,2,2,3,3,2,3,2,4,1,3,2,2,4,4,1,1,1,1,1,4,3,2,4,1,1,2,1,2,2,2,2,3,2,1,4,4,1,1
99,1,1,4,1,2,2,4,2,2,1,2,2,2,2,2,2,3,3,1,1,2,1,1,3,2,2,2,3,1,2,2,2,2,2,2,3,3,1,2,3,1,1
100,1,2,3,1,2,2,4,1,1,1,1,2,2,1,3,2,3,3,1,1,2,1,1,4,2,3,2,2,2,3,2,1,1,1,3,2,2,1,2,2,1,2
101,1,1,4,1,1,2,4,2,2,3,2,3,1,3,1,3,3,4,1,1,2,3,3,2,2,2,2,4,1,2,1,3,3,2,1,3,4,1,4,4,2,1
102,1,1,4,1,1,1,4,2,2,1,2,2,1,1,2,2,3,3,1,1,2,2,2,3,2,1,3,4,3,3,1,1,1,2,3,3,2,1,2,3,1,2
103,1,1,3,2,2,2,4,1,2,1,1,1,2,1,2,2,3,3,1,1,2,1,1,4,2,2,3,3,2,2,3,1,1,1,2,2,2,1,2,3,1,1
104,1,1,4,1,2,2,1,1,1,1,1,1,2,2,3,2,3,3,1,1,1,1,1,4,2,1,3,3,1,2,2,1,1,1,2,2,3,1,2,3,1,1
105,1,3,2,1,2,1,1,1,1,1,1,2,1,2,3,3,1,1,1,3,1,1,1,4,2,3,3,3,1,2,3,1,1,1,4,3,3,1,3,4,1,2
106,1,1,4,1,4,4,4,2,2,1,1,2,3,1,3,1,3,3,1,1,2,2,1,4,2,2,2,3,1,3,1,3,3,3,4,4,1,1,1,1,1,1
107,1,1,4,1,2,2,4,3,3,2,2,3,3,2,2,1,4,4,1,1,3,1,1,4,3,1,4,2,1,3,1,2,2,3,2,2,1,1,3,3,1,1
108,1,1,3,3,2,2,1,1,1,1,2,2,1,2,2,3,3,3,1,1,2,1,1,2,3,3,2,3,1,2,3,1,1,1,2,2,2,1,3,4,1,1
109,3,1,3,3,2,2,4,1,1,1,1,2,2,1,3,2,2,3,2,2,2,2,2,3,2,2,2,3,4,3,2,1,1,1,3,2,2,1,2,3,1,2
110,1,2,3,1,1,1,4,2,2,1,2,2,1,1,2,1,2,3,1,2,2,2,2,3,2,2,3,4,2,4,1,1,1,2,3,3,1,1,2,3,1,2
111,1,1,4,1,2,1,4,2,2,2,1,2,1,3,2,3,4,4,1,1,1,1,1,4,2,1,4,2,1,3,1,1,1,2,2,2,1,1,3,4,1,1
112,1,1,4,1,3,2,3,3,2,2,3,3,3,2,3,2,4,4,1,1,1,1,1,4,3,2,4,2,1,3,1,2,2,3,2,3,2,1,3,3,1,1
113,1,1,3,2,2,2,4,3,2,2,2,2,2,4,1,2,3,3,1,1,2,3,4,2,2,2,2,3,1,3,1,3,3,3,2,3,1,1,2,3,1,1
114,1,1,3,1,2,2,4,1,1,1,1,2,1,1,3,2,2,2,1,2,2,2,1,4,2,2,2,3,1,2,2,1,1,1,3,2,1,1,2,2,1,2
115,1,1,3,1,2,1,1,4,4,2,3,3,4,2,3,1,4,4,1,1,2,2,2,3,3,2,4,2,1,4,1,3,4,4,2,3,2,1,2,1,4,1
116,1,4,1,3,2,2,4,2,1,2,1,1,1,2,2,2,2,2,1,4,3,4,4,2,3,3,1,4,1,2,2,2,2,3,4,4,2,1,2,4,2,3
117,1,1,4,1,2,1,4,3,3,2,1,2,2,2,3,1,4,4,1,1,1,1,1,4,3,1,4,1,1,2,1,2,2,3,3,2,2,1,4,4,1,1
118,1,1,4,1,2,1,4,2,2,1,2,3,2,1,3,1,3,3,1,1,1,1,1,4,2,2,3,2,1,3,1,1,1,2,3,2,2,1,2,2,1,1
119,1,1,3,2,1,1,4,3,4,2,2,2,3,1,3,1,3,4,1,2,2,2,3,3,1,1,1,4,1,2,1,4,4,2,1,3,1,4,3,4,2,3
120,1,1,4,1,2,2,4,2,2,1,2,2,2,1,2,1,3,3,1,1,2,2,2,3,2,2,3,3,1,4,1,1,1,2,2,3,1,1,2,3,1,1
121,1,1,4,1,2,1,4,3,4,2,2,3,3,2,3,1,4,4,1,1,1,1,1,3,3,2,4,1,1,2,1,3,3,3,2,2,3,1,4,3,2,1
122,1,1,4,1,2,2,4,2,2,1,1,2,2,2,2,2,4,4,1,1,2,1,1,4,3,2,4,1,1,3,1,1,1,2,2,2,1,1,3,4,1,1
123,1,2,4,1,2,2,4,2,2,2,1,2,2,3,2,2,4,4,1,1,1,1,1,4,2,2,3,2,1,4,1,1,1,2,1,2,1,1,2,3,1,1
124,1,1,4,1,3,3,1,2,2,1,2,2,2,2,3,2,3,3,1,1,1,1,1,4,2,1,3,3,1,2,2,2,2,2,3,3,3,1,2,3,1,1
125,1,1,4,1,2,2,4,2,2,2,2,2,1,2,2,3,3,3,1,1,1,1,1,4,2,1,3,2,1,2,1,1,1,1,2,1,2,1,3,4,1,1
126,1,1,4,1,2,1,4,2,2,2,2,2,2,1,2,2,4,4,1,1,2,1,1,4,2,1,3,2,1,3,1,1,1,2,2,2,1,1,3,3,1,1
127,1,1,2,1,2,2,4,2,2,2,2,2,3,1,4,1,3,4,1,1,2,4,4,2,2,2,2,3,1,3,1,2,2,2,2,3,2,1,1,2,1,1
128,1,1,2,4,2,2,4,1,1,1,1,1,1,2,2,3,3,3,1,2,2,4,4,1,4,4,1,4,1,3,1,2,2,3,3,4,1,1,2,3,1,2
129,1,1,4,1,2,1,1,2,2,2,1,4,1,3,2,3,3,4,1,1,1,1,1,4,2,2,3,2,1,1,2,1,1,1,2,1,1,1,3,4,1,1
131,1,1,4,1,2,1,1,2,2,3,1,2,2,2,3,2,4,4,1,1,3,1,1,4,3,2,4,2,1,3,1,2,2,2,3,2,4,1,3,3,1,1
132,1,1,4,2,2,2,1,1,1,2,1,1,1,3,2,3,3,3,1,1,3,1,1,3,2,2,3,3,1,3,2,1,1,1,2,2,1,1,2,3,1,1
133,1,1,3,2,3,2,4,3,2,2,2,2,2,3,2,2,3,4,1,1,2,2,2,3,3,3,4,1,1,2,1,3,3,3,3,3,1,1,3,4,1,1
134,1,1,4,1,2,1,4,2,2,2,2,2,2,3,2,2,4,4,1,1,1,2,2,3,2,2,3,3,1,1,1,3,2,2,2,3,3,1,4,4,2,1
135,1,1,4,1,2,1,4,3,2,2,2,3,2,2,2,1,4,4,1,1,1,1,2,3,2,1,3,2,1,2,1,3,3,2,2,3,4,1,4,4,2,1
136,1,1,4,1,2,1,2,3,3,3,1,2,3,3,3,1,4,4,1,1,1,1,1,4,3,1,4,1,1,2,1,2,2,2,2,2,2,1,4,4,1,1
137,1,1,3,1,1,2,4,3,3,2,2,2,2,3,2,1,3,3,1,1,2,2,2,3,2,2,2,3,1,3,1,4,3,3,3,3,1,1,2,3,1,1
138,1,2,3,1,2,2,1,1,1,1,4,2,1,4,2,4,3,3,1,2,1,1,1,4,2,2,2,3,1,2,3,1,1,1,2,2,2,1,3,3,1,2
139,1,1,4,1,2,1,4,4,4,4,3,4,4,1,4,1,4,4,1,1,1,1,1,4,2,2,4,1,1,2,1,4,4,4,3,3,1,1,4,3,3,1
140,1,1,4,1,1,1,4,3,2,1,2,2,2,1,2,1,4,4,1,1,1,1,1,4,2,2,3,2,1,4,1,3,3,3,3,4,2,1,1,1,1,1
141,1,1,4,1,2,2,4,3,2,3,1,2,2,3,1,2,4,4,1,1,1,1,1,4,3,2,4,2,1,3,1,2,2,3,2,3,2,1,3,3,1,1
142,1,4,2,1,3,2,4,1,1,1,2,2,1,2,2,3,2,2,1,4,1,1,1,4,3,3,2,2,1,3,3,1,1,1,3,2,3,1,3,3,1,1
143,1,1,4,1,2,1,1,3,2,3,4,3,2,2,2,2,4,4,1,1,1,1,1,4,4,3,4,2,1,3,1,2,2,3,2,3,3,1,3,3,1,1
144,1,1,3,2,2,2,4,2,2,1,2,2,2,1,2,2,3,3,1,1,2,1,1,3,3,2,2,2,1,4,1,1,1,2,3,3,2,1,1,3,1,1
145,1,1,3,1,2,2,4,2,2,1,1,1,1,3,2,3,2,2,1,2,2,3,3,2,2,2,2,3,1,1,2,2,2,2,3,3,2,1,2,3,1,2
146,2,4,2,1,3,3,4,1,1,1,2,2,2,1,3,2,2,2,2,4,3,1,1,4,2,2,2,3,3,3,2,1,1,1,3,2,2,1,3,3,1,3
147,1,1,4,1,2,2,1,1,1,1,1,3,1,3,2,3,3,2,1,2,1,1,1,4,2,1,3,2,1,1,1,1,1,1,2,1,3,1,4,4,1,1
148,1,3,3,1,2,2,1,1,1,1,1,2,1,2,2,3,2,2,1,2,1,1,1,4,2,3,3,2,1,2,3,1,1,1,2,1,1,1,3,4,1,2
149,1,2,3,1,2,2,1,1,1,1,1,1,1,2,2,3,2,2,1,2,2,1,1,4,2,3,3,3,1,3,4,1,1,1,3,3,2,1,2,3,1,3
150,1,1,3,3,3,2,4,1,1,1,1,1,2,2,2,2,3,3,1,1,1,1,1,3,2,2,2,3,1,3,2,1,1,1,2,2,2,1,2,3,1,1
151,1,3,2,1,2,2,4,1,2,1,2,2,2,2,3,2,2,2,1,3,2,1,1,4,2,2,2,2,1,3,2,1,1,1,3,3,3,1,2,3,1,3
152,1,1,4,1,2,1,4,2,2,2,1,1,2,3,2,3,4,4,1,1,1,1,1,4,2,2,3,2,1,2,1,1,1,1,2,1,2,1,3,3,1,1
153,1,1,4,1,2,1,4,2,2,2,1,2,2,3,2,2,4,4,1,1,1,1,1,3,2,2,4,2,1,2,1,2,2,2,2,3,2,1,3,4,1,1
154,1,3,2,1,2,2,1,1,1,1,1,2,1,1,3,2,1,1,1,2,2,1,1,4,2,2,2,3,1,2,4,1,1,1,3,2,2,1,3,3,1,3
